Date, Open, High, Low, Close, Company
12-06-2020, 190.54, 191.72, 185.18, 187.74, MSFT
11-06-2020, 193.13, 195.76, 186.07, 186.27, MSFT
12-06-2020, 1428.49, 1437.00, 1386.02, 1413.18, GOOG
11-06-2020, 1442.48, 1545.47, 1402.00, 1403.84, GOOG
12-06-2020, 128.15, 128.36, 126.49, 127.82, TM
11-06-2020, 127.38, 127.89, 123.83, 124.44, TM
12-06-2020, 7.19, 7.19, 6.76, 7.00, TTM
11-06-2020, 6.72, 6.83, 6.50, 6.55, TTM
12-06-2020, 9.48, 9.54, 9.20, 9.39, DB
11-06-2020, 9.36, 9.50, 8.95, 9.00, DB
12-06-2020, 43.40, 43.86, 42.56, 43.02, BNS
11-06-2020, 42.85, 43.50, 41.80, 42.09, BNS